planning_area,planning_area_id
YISHUN,114
YISHUN,120
YISHUN,117
YISHUN,118
YISHUN,121
YISHUN,126
YISHUN,122
YISHUN,123
YISHUN,132
YISHUN,116
YISHUN,165
YISHUN,166
YISHUN,136
YISHUN,138
YISHUN,139
YISHUN,141
YISHUN,143
YISHUN,145
YISHUN,146
YISHUN,147
YISHUN,151
YISHUN,154
YISHUN,159
YISHUN,160
YISHUN,163
YISHUN,164
YISHUN,156
YISHUN,119
YISHUN,115
YISHUN,113
YISHUN,127
YISHUN,157
YISHUN,129
YISHUN,128
YISHUN,130
YISHUN,124
YISHUN,131
YISHUN,133
YISHUN,161
YISHUN,134
YISHUN,135
YISHUN,137
YISHUN,140
YISHUN,142
YISHUN,144
YISHUN,148
YISHUN,149
YISHUN,150
YISHUN,152
YISHUN,153
YISHUN,125
YISHUN,162
YISHUN,155
YISHUN,158
YISHUN,167
