planning_area,no_family_nucleus,ofn_1_gen,ofn_2_gen,ofn_3_more_gen,tfn_1to2_gen,tfn_3_more_gen,three_more_fam_nucleus
Ang Mo Kio,13690.5,7779.25,31439.25,3184.25,561.5,1581.75,70.25
Bedok,17632.75,11647.25,48858.0,5525.5,927.75,2917.25,193.75
Bishan,4054.75,3393.25,16521.75,1922.0,255.75,925.25,42.0
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,7257.25,5903.5,26552.5,2582.5,436.5,1297.0,91.25
Bukit Merah,15098.0,8059.75,26350.0,2501.5,438.25,1153.25,50.0
Bukit Panjang,4101.25,4494.25,23494.5,2358.5,436.25,1249.0,63.5
Bukit Timah,3014.0,2983.5,12764.0,1249.75,205.25,811.75,67.0
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,72.5,35.5,129.0,13.25,5.25,8.75,0.0
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,4309.75,5488.0,31619.25,3505.0,589.25,1749.75,87.5
Clementi,7130.5,4289.5,16232.0,1547.25,269.25,772.5,35.25
Downtown Core,416.75,162.5,427.0,42.0,20.0,32.0,0.0
Geylang,10082.25,5011.0,19399.25,2143.25,376.25,1071.75,76.0
Hougang,9127.0,7441.5,39338.25,4008.0,761.75,2232.25,137.75
Jurong East,4329.5,3218.5,15186.75,1594.0,308.0,872.25,64.75
Jurong West,9873.75,9639.25,45402.0,4642.75,1025.25,2549.0,142.25
Kallang,10653.25,5004.5,16750.0,1540.25,311.75,792.75,27.25
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,30.666666666666668,18.333333333333332,89.66666666666667,15.666666666666666,4.333333333333333,0.0,4.333333333333333
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,3709.75,2266.0,7553.5,839.25,134.25,496.25,31.0
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton,260.0,157.25,469.5,51.0,10.75,21.25,3.0
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,3376.5,2261.75,8201.25,818.75,123.5,420.25,40.75
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outram,3331.5,1077.75,3069.25,273.25,38.5,127.0,4.75
Pasir Ris,3802.75,4461.75,24193.5,2874.75,492.25,1286.75,77.75
Paya Lebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,3647.3333333333335,6279.0,21791.0,2177.0,254.33333333333334,1027.3333333333333,26.666666666666668
Queenstown,9279.0,5388.0,17003.5,1612.0,221.75,680.25,23.0
River Valley,679.5,355.25,1120.75,114.25,17.75,69.5,5.75
Rochor,674.5,313.75,1278.75,130.75,44.0,105.25,9.75
Seletar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sembawang,2379.25,3066.0,12790.5,1345.0,256.0,726.25,42.75
Sengkang,4832.0,7615.75,32393.0,3319.75,504.0,1680.5,62.75
Serangoon,5469.5,4297.0,21808.5,2399.5,433.5,1382.25,97.0
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,142.0,50.0,66.33333333333333,2.6666666666666665,0.0,4.666666666666667,0.0
Southern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,10223.25,8971.75,46350.25,5056.75,875.5,2721.25,143.75
Tanglin,1391.5,1092.75,3049.5,264.5,40.25,159.0,27.0
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,11438.0,5967.25,20994.5,2268.75,358.25,1013.25,40.0
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,8445.0,8444.25,41430.25,4614.75,940.75,2553.25,121.5
Yishun,9275.25,7950.5,35189.0,3725.0,714.0,2012.0,117.5
