planning_area,no_religion,buddhism,taoism,islam,hinduism,sikhism,catholic_christian,other_christians,other_religions
Ang Mo Kio,26220.0,57950.75,20286.25,12053.5,6639.5,276.5,10873.25,15932.75,370.75
Bedok,38530.75,74487.5,20102.25,42959.5,8652.25,975.5,18040.5,28185.5,707.25
Bishan,16409.5,23427.0,6065.25,3756.25,3600.0,174.5,8566.25,13011.75,165.75
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,20744.75,40041.5,11130.5,18507.5,7160.5,328.25,6692.0,14352.75,314.5
Bukit Merah,25316.5,50142.25,13847.25,11126.0,5929.25,701.75,7059.5,14862.25,443.5
Bukit Panjang,17471.25,37260.5,12763.5,17458.5,3872.25,284.25,4981.25,10334.75,198.75
Bukit Timah,14647.25,11326.75,2709.0,852.5,1579.75,144.5,7172.25,17469.75,227.75
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,65.75,133.0,46.5,209.0,75.5,17.0,36.5,33.25,0.0
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,23896.0,48594.25,14158.5,26460.0,7721.75,198.0,6794.75,12418.0,275.5
Clementi,15705.25,24388.25,6182.0,9579.0,3081.5,223.0,4506.75,11766.75,246.0
Downtown Core,591.0,1039.5,217.5,96.5,65.75,8.25,183.5,256.75,12.75
Geylang,17427.25,36289.5,9897.5,15293.75,3013.0,353.5,4236.75,9668.5,195.5
Hougang,31353.0,70353.5,19886.5,16968.5,7375.75,524.0,14944.25,18099.75,516.5
Jurong East,12117.25,23311.5,8968.5,12976.25,4308.75,320.5,2957.0,6147.0,104.75
Jurong West,33951.25,78684.25,22990.25,39871.0,11621.25,717.25,6708.0,13451.5,524.75
Kallang,15682.75,30637.75,8584.25,8228.25,5729.0,749.75,4757.75,8638.25,306.5
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,92.66666666666667,114.66666666666667,75.33333333333333,19.0,39.0,0.0,55.333333333333336,35.666666666666664,2.0
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,8088.25,9338.75,1886.75,3447.25,2369.25,356.0,4224.25,6605.25,249.75
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton,533.5,484.5,46.25,79.75,173.5,10.25,294.0,585.25,32.0
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,8182.5,11698.25,2603.5,2058.75,1669.75,207.75,3767.75,6879.75,100.0
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outram,3607.75,6824.75,2106.5,1340.25,598.25,95.75,576.25,1654.5,43.0
Pasir Ris,18838.0,31021.25,7043.25,24035.5,3858.25,413.25,8090.75,15156.25,330.0
Paya Lebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,18235.0,30502.333333333332,7631.0,11710.333333333334,3703.6666666666665,321.3333333333333,6033.333333333333,9777.666666666666,289.0
Queenstown,16340.5,26422.5,6508.75,8324.25,3443.5,293.75,5993.0,12956.0,250.75
River Valley,1375.5,1128.0,165.5,76.0,442.0,13.75,738.0,1378.0,46.25
Rochor,1052.5,2995.0,601.0,544.25,551.75,105.5,248.0,470.25,25.5
Seletar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sembawang,10599.75,20096.75,5136.75,8930.75,2788.5,245.0,3206.0,6059.0,157.25
Sengkang,26372.25,53327.25,13241.5,16358.0,7173.5,284.0,9041.25,12242.25,322.25
Serangoon,19992.0,33645.0,9823.5,6097.75,5821.75,390.75,10747.0,16083.0,341.25
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,137.0,95.33333333333333,4.0,15.333333333333334,18.0,0.0,67.0,117.66666666666667,2.6666666666666665
Southern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,32220.0,68224.0,17672.0,53112.0,7447.5,761.75,12166.5,22311.25,522.5
Tanglin,3350.0,2407.5,409.5,281.75,944.75,47.75,2176.25,3789.25,108.75
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,19937.25,38740.5,9806.25,8421.25,4324.0,271.5,8740.0,13122.0,295.25
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,26213.0,63552.75,16383.25,48182.25,11331.0,606.25,7548.25,14164.0,382.75
Yishun,24463.25,58366.75,17543.5,29784.75,10699.25,444.75,8012.0,12513.75,418.75
